[AgePredModel] load_data: start loading...
[AgePredModel] load_data: Done! Get 339123 for train and 18660 for test!
[AgePredModel] load_data: loading finished !
[AgePredModel] train_model: start training...
[train_model] best weight file found, try to load ...
[train_model] Weights Load Successfull!
Epoch 0/127
----------
0.1% 29200/339123 		 Gender Loss 0.4715 		 Age MAE 7.84 		 Acc 0.7950 		 ETA 1340s
0.1% 29600/339123 		 Gender Loss 0.4656 		 Age MAE 7.38 		 Acc 0.8075 		 ETA 1338s
0.1% 30000/339123 		 Gender Loss 0.5209 		 Age MAE 7.88 		 Acc 0.7525 		 ETA 1336s
0.1% 30400/339123 		 Gender Loss 0.5201 		 Age MAE 8.05 		 Acc 0.7800 		 ETA 1334s
0.1% 30800/339123 		 Gender Loss 0.4927 		 Age MAE 8.40 		 Acc 0.7700 		 ETA 1332s
0.1% 31200/339123 		 Gender Loss 0.4846 		 Age MAE 8.11 		 Acc 0.7975 		 ETA 1330s
0.1% 31600/339123 		 Gender Loss 0.4662 		 Age MAE 7.94 		 Acc 0.8200 		 ETA 1328s
0.1% 32000/339123 		 Gender Loss 0.4636 		 Age MAE 8.35 		 Acc 0.8225 		 ETA 1325s
0.1% 32400/339123 		 Gender Loss 0.4892 		 Age MAE 8.06 		 Acc 0.7775 		 ETA 1323s
0.1% 32800/339123 		 Gender Loss 0.4761 		 Age MAE 7.52 		 Acc 0.7875 		 ETA 1321s
0.1% 33200/339123 		 Gender Loss 0.4681 		 Age MAE 7.88 		 Acc 0.8025 		 ETA 1319s
0.1% 33600/339123 		 Gender Loss 0.4833 		 Age MAE 8.58 		 Acc 0.8100 		 ETA 1317s
0.1% 34000/339123 		 Gender Loss 0.4685 		 Age MAE 8.26 		 Acc 0.8125 		 ETA 1315s
0.1% 34400/339123 		 Gender Loss 0.4743 		 Age MAE 7.28 		 Acc 0.7950 		 ETA 1313s
0.1% 34800/339123 		 Gender Loss 0.4962 		 Age MAE 7.43 		 Acc 0.7900 		 ETA 1311s
0.1% 35200/339123 		 Gender Loss 0.4775 		 Age MAE 8.19 		 Acc 0.8075 		 ETA 1309s
0.1% 35600/339123 		 Gender Loss 0.4925 		 Age MAE 7.85 		 Acc 0.7850 		 ETA 1307s
0.1% 36000/339123 		 Gender Loss 0.4787 		 Age MAE 7.92 		 Acc 0.8000 		 ETA 1305s
0.1% 36400/339123 		 Gender Loss 0.4640 		 Age MAE 7.46 		 Acc 0.8250 		 ETA 1303s
0.1% 36800/339123 		 Gender Loss 0.4861 		 Age MAE 7.30 		 Acc 0.7850 		 ETA 1301s
0.1% 37200/339123 		 Gender Loss 0.5205 		 Age MAE 7.99 		 Acc 0.7750 		 ETA 1300s
0.1% 37600/339123 		 Gender Loss 0.5081 		 Age MAE 8.20 		 Acc 0.7750 		 ETA 1298s
0.1% 38000/339123 		 Gender Loss 0.4862 		 Age MAE 7.47 		 Acc 0.7975 		 ETA 1296s
0.1% 38400/339123 		 Gender Loss 0.4530 		 Age MAE 7.84 		 Acc 0.8200 		 ETA 1294s
0.1% 38800/339123 		 Gender Loss 0.4630 		 Age MAE 7.58 		 Acc 0.8325 		 ETA 1292s
0.1% 39200/339123 		 Gender Loss 0.4729 		 Age MAE 8.21 		 Acc 0.8050 		 ETA 1290s
0.1% 39600/339123 		 Gender Loss 0.4415 		 Age MAE 6.88 		 Acc 0.8125 		 ETA 1288s
0.1% 40000/339123 		 Gender Loss 0.4752 		 Age MAE 7.77 		 Acc 0.8050 		 ETA 1286s
0.1% 40400/339123 		 Gender Loss 0.4522 		 Age MAE 7.39 		 Acc 0.8200 		 ETA 1284s
0.1% 40800/339123 		 Gender Loss 0.4828 		 Age MAE 7.44 		 Acc 0.7825 		 ETA 1282s
0.1% 41200/339123 		 Gender Loss 0.5021 		 Age MAE 8.11 		 Acc 0.7875 		 ETA 1280s
0.1% 41600/339123 		 Gender Loss 0.4794 		 Age MAE 7.67 		 Acc 0.8175 		 ETA 1278s
0.1% 42000/339123 		 Gender Loss 0.4719 		 Age MAE 7.64 		 Acc 0.7975 		 ETA 1276s
0.1% 42400/339123 		 Gender Loss 0.4778 		 Age MAE 6.78 		 Acc 0.8150 		 ETA 1274s
0.1% 42800/339123 		 Gender Loss 0.4865 		 Age MAE 8.06 		 Acc 0.7825 		 ETA 1273s
0.1% 43200/339123 		 Gender Loss 0.5294 		 Age MAE 7.30 		 Acc 0.7625 		 ETA 1271s
0.1% 43600/339123 		 Gender Loss 0.4617 		 Age MAE 6.94 		 Acc 0.8100 		 ETA 1269s
